編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
135,135,85087772,向昱營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,昶順銓有限公司,27466445,昶順銓有限公司-C2廠房新建工程,屋突層,2268,桃園市八德區豐成街16 號旁,桃園市政府勞動檢查處,2023,2023-08-07,是,06
136,136,無,國家中山科學研究院,M專業、科學及技術服務業(綜合研究發展服務業),火災,1,,無,,屏東縣滿洲鄉港仔村大溪路16號,2280,洲鄉港仔村大溪路16號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-08-03,是,03
137,137,,台灣電力股份有限公司南投區營業處,D電力及燃氣供應業(電力供應業),感電,1,,,「110年甲工區配電外線工程」,南投縣魚池鄉水尾巷4號附近(魚埔幹#84電桿處),2274,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-08-02,否,02
138,138,23788536,東生營造股份有限公司,F營造業(其他土木工程業),墜落、滾落,1,統創建設開發股份有限公司,27728428,（109建6868）統創緻新建工程,1樓吊料開口,2266,大安區復興南路132號,臺北市勞動檢查處,2023,2023-08-02,是,04
139,139,89703616,欣煌營造有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,楊00,00000000,新竹市民宅整修工程,2樓電梯井,2269,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-31,否,01
140,140,,明欣國際管理顧問有限公司,N支援服務業(人力供應業),物體倒塌、崩塌,1,,,,統一速達股份有限公司北二區中壢綜合轉運中心,2268,中壢區新生路2段378號,桃園市政府勞動檢查處,2023,2023-07-31,是,06
141,141,25156232,承碩消防有限公司,F營造業(其他建築設備安裝業),墜落、滾落,1,巨琛工業股份有限公司,91010935,巨琛工業股份有限公司辦公室、廠房新建工程(111中都建字第00560號),臺中市大甲區中山路1段361號旁工地,2272,,臺中市勞動檢查處,2023,2023-07-31,否,07
142,142,53094667,台灣新明和工業股份有限公司,F營造業(機電、電信及電路設備安裝業),與有害物等之接觸,1,日勝生加賀屋國際溫泉飯店股份有限公司,27325109,停車設備保養維修工程,於地下4樓基坑缺氧窒息,2266,臺北市北投區光明路236號,臺北市勞動檢查處,2023,2023-07-29,是,04
143,143,94506002,臺灣花蓮地方法院,O公共行政及國防；強制性社會安全(政府機關),感電,1,,,,臺灣花蓮地方法院 民事庭（含花蓮簡易庭）暨國民法官法庭院區,2282,花蓮縣花蓮市球崙一路286號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-27,是,01
144,144,,仁發建築開發股份有限公司,L不動產業(不動產開發業),物體飛落,1,,,仁發建築開發股份有限公司停車空間、店鋪、集合住宅新建工程,臺南市永康區本工程A棟南面4樓天井處,2278,臺南市永康區橋北段5地號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-07-25,是,03
