編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
752,70,,安倉營造股份有限公司,F營造業(公用事業設施工程業),被撞,1,,,大漢溪堤外水岸廊道串聯暨周邊環境改善工程,新北市樹林區鹿角溪溼地,2267,,新北市政府勞動檢查處,2023,2023-04-04,否,05
753,71,25174153,永䥶工程有限公司,F營造業(其他土木工程業),其他交通事故,1,交通部高速公路局北區養護工程分局,04123601,111年度中壢工務段轄區路面整修工程,桃園市蘆竹區本工程之國道1號北上線里程52k+300第1車道（內側路肩及第1車道）,2268,,桃園市政府勞動檢查處,2023,2023-03-31,否,06
754,72,,斯特樂科技有限公司線材廠,C製造業(金屬建築組件製造業),被撞,1,,,成品盤元吊掛作業,成品盤元倉庫,2279,高雄市燕巢區大成路95號,高雄市政府勞工局勞動檢查處,2023,2023-03-31,是,09
755,73,79990245,家宇營造有限公司,F營造業(建築工程業),物體倒塌、崩塌,3,,,住宅新建工程,開挖區,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-30,否,02
756,74,,三貿通運有限公司,H運輸及倉儲業(汽車貨運業),被撞,1,,,型鋼成品倉庫板車裝載作業,東和鋼鐵企業股份有限公司高雄廠,2279,高雄市小港區嘉興街8號,高雄市政府勞工局勞動檢查處,2023,2023-03-29,是,09
757,75,30323323,陳OO(即玉川工程行),N支援服務業(營造用機械設備租賃業),墜落、滾落,1,,,,新竹市建華段462-2等地號之停車場,2269,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-03-28,否,01
758,76,,富胖達股份有限公司,H運輸及倉儲業(汽車貨運業),公路交通事故,1,,,,雲林縣虎尾鎮清雲路和清雲二路之路口,2275,雲林縣虎尾鎮平和里平和58-3號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-27,是,02
759,77,,富胖達股份有限公司,H運輸及倉儲業(其他陸上運輸業),公路交通事故,1,,,無,雲林縣虎尾鎮清雲路和清雲二路之路口,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-27,否,02
760,78,,華豐營造股份有限公司,F營造業(其他土木工程業),物體飛落,1,元毅工業股份有限公司,,元毅工業廠房新建工程,南側置料夾層樓板,2273,彰化縣福興鄉福工路16號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-25,是,02
761,79,00000001,簡OO（即新滿昌號漁船）,A農、林、漁、牧業(漁撈業),其他,1,,00000001,,,,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-03-24,否,01
762,80,,寶信營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,達麗建設事業股份有限公司,,歸仁區武東段新建工程-第二階段,臺南市歸仁區歸仁七路、高發二路口本工程1樓公設區,2278,臺南市歸仁區歸仁七路、高發二路口本工程1樓公設區,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-03-22,是,03
763,81,23145632,帆宣系統科技股份有限公司,F營造業(冷凍、空調及管道工程業),與高溫、低溫之接觸,0,桃園國際機場股份有限公司,53002013,第一、二航廈電力電纜改善暨發電機汱換及相關變電設備改善工程,配電室,2268,,桃園市政府勞動檢查處,2023,2023-03-21,是,06
764,82,,海盛航運股份有限公司,H運輸及倉儲業(海洋水運業),被撞,1,,,,澎湖國內商港龍門尖山碼頭區6號、7號公用碼頭交界處港區道路,2284,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-03-20,是,03
765,83,23261505,台灣大林組營造股份有限公司,F營造業(其他土木工程業),被撞,1,安家卓越股份有限公司,24745331,(109建209號) 安家卓越臨沂段一小段新建工程,臺北市中正區忠孝東路二段64巷10號工地,2266,臺北市中正區忠孝東路二段64巷10號工地,臺北市勞動檢查處,2023,2023-03-17,是,04
766,84,,睿旭營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,戴OO,,戴OO「住宅整修工程」,結構體五樓樓板開口邊緣,2268,,桃園市政府勞動檢查處,2023,2023-03-13,否,06
767,85,,黃文燕(即力成工程行),F營造業(建物完工裝修工程業),墜落、滾落,1,吳定松(即東華農特產行),,蒸餾機設備拆除工程,東華農特產行之廠房遮雨棚(地址：苗栗縣銅鑼鄉九湖村九湖南段968地號),2271,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-10,否,02
768,86,,拾間室內裝修設計有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,田OO,,汐止區OO路室內裝修工程,房間鐵窗,2267,,新北市政府勞動檢查處,2023,2023-03-10,否,05
769,87,,梁○○,F營造業(其他專門營造業),墜落、滾落,1,黃○○,,黃宅鐵皮浪板更新工程,1 樓前院頂棚,2268,,桃園市政府勞動檢查處,2023,2023-03-09,否,06
770,88,,慧國工業股份有限公司,C製造業(汽車零件製造業),跌倒,1,,,,,2272,,臺中市勞動檢查處,2023,2023-03-08,否,07
771,89,80128660,川翔鋼鐵有限公司,G批發及零售業(金屬建材批發業),墜落、滾落,1,松盛工業有限公司,35921501,松盛工業有限公司廠房雨遮修繕工程,桃園市楊梅區高獅路425號,2268,桃園市楊梅區高獅路425號,桃園市政府勞動檢查處,2023,2023-03-06,是,06
772,90,,群策能源科技股份有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,中租迪和股份有限公司,,口福國際太陽光電系統工程,雲林縣口湖鄉北興街389號「口福國際太陽光電系統工程」工地現場,2275,口湖鄉北興街389號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-03-04,是,02
773,91,,信美石業股份有限公司,C製造業(石材製品製造業),墜落、滾落,1,,,,加工作業區,2282,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-03-03,否,01
774,92,,高亨股份有限公司,G批發及零售業(金屬建材批發業),墜落、滾落,1,高亨股份有限公司,,,平鎮區洪圳路386之1號,2268,平鎮區洪圳路386之1號,桃園市政府勞動檢查處,2023,2023-03-03,是,06
775,93,,林口育樂事業股份有限公司,R藝術、娛樂及休閒服務業(運動場館),其他交通事故,1,,,,,2267,,新北市政府勞動檢查處,2023,2023-03-01,否,05
776,94,,詠慶鋼鐵有限公司,,物體飛落,1,,,,二區固定式起重機作業場所,2277,嘉義縣民雄鄉大崎村十四甲820號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-02-27,是,03
777,95,,上永運輸有限公司,H運輸及倉儲業(汽車貨運業),墜落、滾落,1,,,,道路,2267,新北市新店區中央四街83號,新北市政府勞動檢查處,2023,2023-02-25,是,05
778,96,,亞頎工程股份有限公司,C製造業(化工機械設備製造業),墜落、滾落,1,永信藥品工業股份有限公司,,50噸醱酵槽整改工程,,2272,,臺中市勞動檢查處,2023,2023-02-25,否,07
